rank,score,action,name,slug,url,clicks,impressions,ctr,position,subtree_product_count,priced_product_count,has_products,rfq_enabled_count,is_rfq_suitable,child_count,is_in_sitemap,is_indexable,has_intro,has_buying_guide,has_faq,has_seo_framework,has_seo_override,has_guide_cluster,has_related_knowledge_article,is_redirect_source
1,82,improve_ctr_title_meta,Hot Melt Adhesives,hot-melt-adhesives,https://machrio.com/category/hot-melt-adhesives,0,169,0,85.6,7,7,true,0,true,0,true,true,false,false,true,true,true,true,true,false
2,79,improve_ctr_title_meta,Lockout Padlocks,lockout-padlocks,https://machrio.com/category/lockout-padlocks,0,14,0,39.93,449,449,true,419,true,0,true,true,false,false,true,true,true,true,true,false
3,76,strengthen_conversion,Lockout Tagout,lockout-tagout,https://machrio.com/category/lockout-tagout,0,2,0,82.5,667,667,true,559,true,5,true,true,false,true,true,true,true,true,true,false
4,74,strengthen_conversion,"Wire, Cable & Cordsets",wire-cable-cordsets,https://machrio.com/category/wire-cable-cordsets,0,1,0,8,1347,1347,true,1347,true,3,true,true,false,true,true,true,false,false,false,false
5,73,strengthen_conversion,Spherical Bearings,spherical-bearings,https://machrio.com/category/spherical-bearings,0,1,0,9,123,123,true,123,true,0,true,true,false,false,false,false,false,false,false,false
6,72,fill_category_content,Plain Bearings,plain-bearings,https://machrio.com/category/plain-bearings,0,0,0,0,666,666,true,579,true,0,true,true,false,false,false,false,true,true,true,false
7,68,strengthen_conversion,Wireways,wireways,https://machrio.com/category/wireways,0,4,0,19.5,265,265,true,225,true,0,true,true,false,false,false,false,false,false,false,false
8,67,strengthen_conversion,Bag Air Filters,bag-air-filters,https://machrio.com/category/bag-air-filters,0,3,0,10,31,31,true,1,true,0,true,true,false,false,false,false,false,false,false,false
9,67,strengthen_conversion,Electrical Lockout Devices,electrical-lockout-devices,https://machrio.com/category/electrical-lockout-devices,0,3,0,53.67,159,159,true,119,true,0,true,true,false,false,false,false,false,true,true,false
10,66,strengthen_conversion,Handrail Brackets,handrail-brackets,https://machrio.com/category/handrail-brackets,0,9,0,25.33,22,22,true,22,true,0,true,true,false,false,false,false,true,false,false,false
11,65,strengthen_conversion,Bulk Bags,bulk-bags,https://machrio.com/category/bulk-bags,0,1,0,10,169,169,true,164,true,0,true,true,false,false,false,false,false,false,false,false
12,65,improve_ctr_title_meta,Plastic Perforated Sheets,plastic-perforated-sheets,https://machrio.com/category/plastic-perforated-sheets,0,129,0,61.78,1,1,true,1,true,0,true,true,false,false,true,true,true,true,true,false
13,64,strengthen_conversion,Material Handling,material-handling,https://machrio.com/category/material-handling,0,1,0,8,849,849,true,727,true,7,true,true,false,true,true,true,false,false,false,false
14,63,strengthen_conversion,Stem Casters,stem-casters,https://machrio.com/category/stem-casters,0,3,0,33,689,689,true,683,true,0,true,true,false,false,false,false,false,false,false,false
15,62,strengthen_conversion,Cable Locks,cable-locks,https://machrio.com/category/cable-locks,0,3,0,71.67,279,279,true,279,true,0,true,true,false,false,false,false,false,false,false,false
16,59,improve_ctr_title_meta,Valve Lockout Devices,valve-lockout-devices,https://machrio.com/category/valve-lockout-devices,0,47,0,76.64,1,1,true,1,true,0,true,true,false,false,true,true,true,true,true,false
17,57,strengthen_conversion,Wire & Cable Management,wire-cable-management,https://machrio.com/category/wire-cable-management,0,1,0,6,265,265,true,225,true,1,true,true,false,true,true,true,false,false,false,false
18,56,strengthen_conversion,Institutional Furniture,institutional-furniture,https://machrio.com/category/institutional-furniture,0,3,0,25,25,25,true,25,true,0,true,true,false,false,false,false,false,false,false,false
19,56,strengthen_conversion,Mop Sinks,mop-sinks,https://machrio.com/category/mop-sinks,0,7,0,56.14,72,72,true,72,true,0,true,true,false,false,false,false,true,false,false,false
20,55,improve_ctr_title_meta,Industrial Safety Pins,industrial-safety-pins,https://machrio.com/category/industrial-safety-pins,0,16,0,33.94,5,5,true,5,true,0,true,true,false,false,false,false,true,false,false,false
21,54,strengthen_conversion,Adhesive & Sealant Surface Preparation,adhesive-sealant-surface-preparation,https://machrio.com/category/adhesive-sealant-surface-preparation,0,1,0,9,5,5,true,0,true,1,true,true,false,true,true,true,false,false,false,false
22,54,fill_category_content,Caulks & Sealants,caulks-sealants,https://machrio.com/category/caulks-sealants,0,0,0,0,370,370,true,351,true,0,true,true,false,false,false,false,false,false,false,false
23,54,fill_category_content,Computer Cables,computer-cables,https://machrio.com/category/computer-cables,0,0,0,0,771,771,true,771,true,0,true,true,false,false,false,false,false,false,false,false
